source_a,source_b,shared_examples,label_agreement,cohen_kappa,pearson_score_correlation,spearman_score_correlation
Manual,DeepSeek-V4-Flash,338,0.28994082840236685,0.04830062062249961,0.2065830979455278,0.20995042626376625
Manual,Gemini-2.5-Flash,338,0.39644970414201186,0.06448680550844578,0.14783492347305013,0.15399804435900818
Manual,GPT-4.1-nano,338,0.34023668639053256,0.06181229773462785,0.18126279474642282,0.17525373150555842
DeepSeek-V4-Flash,Gemini-2.5-Flash,338,0.5532544378698225,0.30339716379816295,0.5727545448419258,0.5859897791449434
DeepSeek-V4-Flash,GPT-4.1-nano,338,0.23372781065088757,0.049799196787148614,0.2892503950944288,0.2604325846897091
Gemini-2.5-Flash,GPT-4.1-nano,338,0.2869822485207101,0.06595573902075451,0.21767717029680617,0.20142912477621236
